demand_share,correlation,lever,pairwise_corr,corr_tv_demand,tv_bias_%,meta_bias_%,search_bias_%,mean_bias_%,mean_cv_%,n_clients,bias_sd_across_clients_%,bias_se_%,typical_abs_bias_%,mean_lambda,lambda_spread,budget_x_b0.4,budget_x_b0.6,budget_x_b0.8,lambda_p10,lambda_p90,budget_x_b0.4_p10,budget_x_b0.4_p90,budget_x_b0.6_p10,budget_x_b0.6_p90,budget_x_b0.8_p10,budget_x_b0.8_p90
0.25,0.55,+/-80%,0.544191933650313,0.3704018744440789,17.259193456621624,11.075910069110407,10.322125804387554,12.885743110039861,9.488041943077056,32,4.008719611265068,0.7086482052502575,12.885743110039861,1.1288574311003987,0.06937067652234075,1.2238602431332717,1.353934767471463,1.8331393545680046,1.0802432233783468,1.1914476548148454,1.1372855923897192,1.3390437193908589,1.2128437201464726,1.549522920423494,1.4710008547181725,2.4012138988601253
0.25,0.55,Blackout,0.544191933650313,0.3704018744440789,10.383757119690577,7.205320593707132,6.3376457679125,7.975574493770068,7.901484542953511,32,2.770236225539591,0.48971320514191774,7.975574493770069,1.0797557449377007,0.04046111351778081,1.1364296052423584,1.2114731926883728,1.4676672966025597,1.0566796792095836,1.1176066594188372,1.0962403680739174,1.2035985411753032,1.1477810679939604,1.3204516768070969,1.317408154581051,1.7435934344686532
0.25,0.55,TV alone +/-80%,0.544191933650313,0.3704018744440789,6.420026689791827,33.596682935539675,24.709875328756368,21.57552831802929,15.41393099366941,32,5.710419675334261,1.0094691189624847,21.575528318029292,1.215755283180293,0.27176656245747854,1.3848740448777903,1.629729075681875,2.656016860122899,1.1588510281588775,1.2674417610429878,1.2785353940032924,1.4843920546814908,1.4456703247748952,1.8085334385709977,2.0899665503432345,3.2709550204716122
0.5,0.55,unphased,0.543574202276653,0.5217515227034443,49.975750969862794,35.16788518146896,27.619016783220477,37.587550978184076,19.438905553520105,32,8.943944233658526,1.5810809045435654,37.58755097818408,1.3758755097818407,0.22356734186642324,1.7020222531864102,2.2204850370778773,4.930553799886743,1.2659918636855547,1.4694926722113417,1.4815604846570374,1.899388696248231,1.8033554106260905,2.617722037375592,3.2521923980993748,6.852727622842601
0.5,0.55,+/-20%,0.543574202276653,0.5217515227034443,46.5315734441316,31.47413708508639,27.51305718549787,35.17292257157195,16.942587636281523,32,7.7629215929015505,1.3723036250400402,35.17292257157195,1.3517292257157194,0.1901851625863371,1.6525305855214025,2.124341138464778,4.5128252725738305,1.2544957962262469,1.4359692064872382,1.459202597683843,1.827716855293119,1.7626815080308254,2.470950652753812,3.107065784937577,6.105655688802438
0.5,0.55,+/-40%,0.543574202276653,0.5217515227034443,39.55513455409179,25.580587751165453,23.942012160901953,29.6925781553864,13.374727387448592,32,6.117799243093702,1.081484332682371,29.692578155386396,1.296925781553864,0.15613122393189838,1.542381731939654,1.9155249326344632,3.669235767544266,1.2277098458816202,1.3706644768881877,1.407644996199523,1.6912930117393554,1.6700911219112007,2.1995243081552625,2.7892219816405786,4.837939456207662
0.5,0.55,+/-80%,0.543574202276653,0.5217515227034443,24.234606965647316,14.972469675281621,14.07456793690547,17.76054819261147,9.053424941047298,32,3.99982255312308,0.7070754127140549,17.760548192611473,1.1776054819261148,0.10160039028741852,1.3132065225989509,1.504871948269543,2.2646395806885704,1.1305669058840102,1.236616038110667,1.2269508644651734,1.4247065344463798,1.3590669854503383,1.7005495614185977,1.847065786752051,2.8919153078614737
0.5,0.55,Blackout,0.543574202276653,0.5217515227034443,14.751062796320895,9.762242643671481,8.72561309077939,11.079639510257257,7.647814560767347,32,2.813721703518125,0.4974004242323576,11.079639510257254,1.1107963951025726,0.06025449705541508,1.19139956196479,1.3004275276456307,1.6911117546585277,1.090829276173186,1.1480510721808372,1.1559205496117115,1.2587396015915338,1.2427735285617927,1.4122281691596035,1.5444864114429884,1.9944165488068266
0.5,0.55,TV alone +/-80%,0.543574202276653,0.5217515227034443,9.212544831066314,45.11218174423095,36.08014758163069,30.134958052309315,14.284701436909566,32,5.417850940691117,0.957749784905151,30.134958052309315,1.301349580523093,0.35899636913164645,1.5511601084838558,1.9319013281400015,3.732242741669103,1.2328175206684748,1.3590396403861051,1.4174188013816202,1.667456036774855,1.6875150138576185,2.1531941019274496,2.847721189473474,4.636346305618284
0.75,0.55,unphased,0.5416893101399601,0.6397289103693676,62.83203674401863,41.88809266527831,34.49610870395936,46.40541270441876,17.897910509373474,32,7.813278254148707,1.3812055092014848,46.405412704418765,1.4640541270441876,0.28335928040059266,1.8876807858440081,2.5935392980254894,6.7264460904025505,1.3731747145877655,1.5622130028786663,1.6964575900721734,2.10332112634892,2.2096044251025897,3.0504787928778776,4.882353083547825,9.306642468209079
0.75,0.55,+/-20%,0.5416893101399602,0.6397289103693676,58.046256736863256,37.711247172644484,33.78651157511026,43.18133849487267,15.823041783322887,32,6.856357946708988,1.2120442995900496,43.18133849487266,1.4318133849487265,0.24259745161753,1.8189078474030727,2.453104476491845,6.017721572584329,1.3466517705596648,1.5191465747766997,1.642204172304595,2.0075748222527454,2.1044752055378546,2.844579394164154,4.429006207211475,8.09278339711736
0.75,0.55,+/-40%,0.5416893101399602,0.6397289103693676,48.873171041758994,30.754929883600532,29.065020779019996,36.2310405681265,12.696546154575032,32,5.582391266479724,0.9868366799410929,36.2310405681265,1.3623104056812652,0.19808150262738988,1.674146489329458,2.166158268079101,4.692241642367452,1.2999579286633864,1.4232694702194006,1.548396480317599,1.8008548662411066,1.9267407754090986,2.416675648467568,3.7123313108125657,5.840344962183648
0.75,0.55,+/-80%,0.5416893101399602,0.6397289103693676,29.619381598768033,17.997371927228563,16.879336019035087,21.49869651501056,8.754380337651517,32,3.894256657188096,0.6884138224946397,21.49869651501056,1.2149869651501055,0.1274004557973294,1.3834156928087307,1.627155455759857,2.6476348772090685,1.1674761431808578,1.2654657348274132,1.294434457986573,1.4805306837776742,1.4727199660518677,1.8014669448774314,2.1689063971202134,3.2452911595845
0.75,0.55,Blackout,0.5416893101399602,0.6397289103693676,18.083037935903818,11.702934435055223,10.54945066900942,13.44514101332282,7.475132175176853,32,2.8648848365620245,0.5064448738128803,13.445141013322822,1.1344514101332281,0.07533587266894393,1.2339848624252052,1.3707704958707578,1.8790117523497636,1.1065316150686277,1.172484309439973,1.1837890187341074,1.3037027321723926,1.2879939838973054,1.488566338547442,1.6589832816114913,2.2158398331432188
0.75,0.55,TV alone +/-80%,0.5416893101399602,0.6397289103693676,11.372789358231927,54.30813208313974,44.92360022387807,36.86817388841658,13.536178352864972,32,4.9668737184835985,0.8780275219092488,36.86817388841658,1.3686817388841657,0.4293534272490782,1.687216399930155,2.1915742156016114,4.802997542489819,1.307293870355632,1.421792257500934,1.562989309256863,1.7977479881948915,1.9540478759311244,2.41044247919699,3.818366118866146,5.8105159525895775
